Attendance,Study_Hours,Previous_CGPA,Internal_Marks,Midsem_Marks,Backlogs,Assignment_Completion,Class_Participation,Age,Sex,Extra_Curricular,Late_Night_Entry,Endsem_Marks
62.472407130841745,3.7364081846669848,8.379989865939823,14.572168525582608,12.472801030110412,0,96.61236590416159,1,25,0,0,5,28.364188727904505
97.04285838459498,3.3291209623140325,5.107071973592269,11.889386803012897,7.370444379051451,3,78.6350359047531,5,24,0,0,5,23.661871987014216
83.9196365086843,1.7615391250286005,6.079838166219317,19.467477872959112,8.1589806243054,5,94.22207862388915,4,22,2,0,4,13.495335747782983
75.91950905182219,6.07266670101488,7.979683821146909,8.284676764763573,9.516778204523046,1,85.07648666604956,2,24,2,1,5,30.782311072541717
49.36111842654619,4.766241605086289,6.89253606714688,13.81784623998411,10.091333359123709,1,60.753489347606546,5,22,0,1,1,30.33345397707853
49.35967122017216,8.657009923240036,8.431426231809363,15.50315022485334,11.056545230263602,0,76.23404003645828,2,20,2,0,2,36.02575262398102
43.48501673009197,0.32109580482058253,9.767247407337159,17.383467340180722,11.386500724087359,0,53.21941441596916,4,20,0,1,2,32.20936421653071
91.97056874649611,6.438679275551263,4.699280126291185,11.104565456420106,16.3929086371884,3,81.23249505662895,1,24,0,0,5,22.070492803941477
76.06690070459253,7.629488785115611,8.257406298388366,15.303828614862223,17.739329770651032,4,42.68845431404936,2,20,0,0,3,18.314056971537905
82.48435466776273,7.59486569188307,5.382064933792687,9.548022070764242,12.7219802031589,1,89.88050492194299,4,22,1,0,3,35.938802957629235
41.23506965774815,8.860739670955251,6.486860364445415,11.532141385427305,27.682410498018204,1,74.99378945853769,5,24,0,1,5,24.527072586720262
98.19459112971967,7.290337428294941,4.197176354770839,18.434406968050986,18.828493083473866,4,43.50630080336313,4,24,2,0,5,15.078759102602996
89.94655844802531,9.278100616476962,4.815444293756194,19.248614139964314,24.686923200835167,3,92.30566991964815,1,24,1,0,3,25.249443216442117
52.74034664069657,3.3265659982089146,5.918663734293398,15.78226020390897,28.105945810521085,2,92.66208465430395,4,24,2,1,5,20.821949282091047
50.909498032426036,5.032094167515431,6.05191483172791,10.615278361642776,9.07837786439513,2,91.16895027869907,5,20,0,0,4,23.690010320299763
51.00427059120603,0.14079663282890675,9.397511298772574,17.30086684961996,15.696862092890862,1,86.45811860912337,5,25,1,1,4,26.419728462941066
58.254534577572265,0.06957587303291213,8.450877455599091,5.388006225881303,15.83026004286522,2,80.67552491581579,2,21,1,1,5,18.916066209359343
71.48538589793426,2.401266204515199,9.833097809122247,6.541188658091316,13.861806260958854,3,63.814547312714986,5,21,2,0,3,25.707859562776893
65.91670111852694,1.0080719713908526,7.594429062011443,14.920606045630416,5.222646663790998,2,48.180350037187324,3,21,2,1,4,16.441781628258763
57.47374841188251,2.602113679357536,5.450282392547908,9.36872862905086,25.399302694452377,0,57.32651650199332,5,20,0,1,3,28.797574422067594
76.71117368334276,1.770432945283974,5.965930179529857,19.27079327600717,7.7889830388475705,3,60.82462830108606,1,23,1,0,5,12.323947748592525
48.36963163912251,0.2852002483864824,5.919015539751802,11.54090918138457,29.887014948043973,4,61.48458804188749,5,25,0,0,5,6.009574963318432
57.528678912113094,9.093041464060494,5.95896596597951,11.440472305837655,24.32396229777954,1,73.92937690763931,2,18,1,0,5,22.81869320185694
61.9817105976215,0.08223131388891525,8.037785038670894,15.171192652863969,19.500250440162862,3,52.50296848874633,5,18,1,0,4,19.126642446901396
67.36419905302216,7.360821443370854,7.184847568542497,16.513528434592843,8.865160443539937,2,51.37966774412501,4,24,2,0,2,29.589028427218494
87.11055768358082,1.5214788691951653,6.312545068519865,12.133381071877047,17.884824284831176,3,83.01776211608446,4,25,2,0,2,25.435945214598988
51.98042692950158,9.122296219996,4.894538612372299,8.210013525675862,11.527718521445223,5,40.450033025830976,4,19,1,0,2,13.605591108845768
70.8540663048167,8.927959395898858,4.132834977652875,16.599629640884324,11.308063113576736,4,48.97116612478165,3,23,1,1,4,15.30824733889279
75.54487413172255,6.539011463692574,5.313008065526155,9.805269123104413,25.738231234562136,5,66.09748493547829,2,21,1,0,3,13.890320504291351
42.78702476319987,6.722341498006052,4.644828423812088,7.6266615394078645,14.516110598985867,3,48.94498996719368,4,22,0,0,2,16.193073120111357
76.45269111408629,0.053391419696885434,8.712670185113437,14.474602848875199,16.268095084770103,4,97.58875307913657,4,21,1,0,2,22.442137464200545
50.23144742123749,9.848715661136021,4.674987746883312,6.356805004855256,26.074118444502957,4,80.20623708810056,4,21,2,0,1,20.074598400123133
43.90309557911677,8.778326035758145,8.345369423841017,19.570290126290825,7.194765642971063,3,65.9661706926716,2,19,1,0,5,19.835648786443823
96.93313223519999,8.95106225730092,6.313952138656496,14.485958966182054,19.86544632727624,1,46.73532087200776,4,23,2,0,2,33.63208139059367
97.93792198447356,6.592445370508719,4.440270338462656,19.788432813826336,19.455392034325946,1,63.11117740927768,3,21,0,1,2,33.04672074857739
88.50384088698766,3.447869286545365,8.876380296589515,10.083401352179541,15.630364231666881,2,79.03610012067763,4,18,0,0,3,31.613841713309398
58.27682615040224,8.936486490904809,7.47778342141968,19.568077417855967,25.744366035602326,5,98.12885220148402,1,22,0,1,5,8.427165159250288
45.86032684038303,2.9151692815119237,5.414569077181438,7.183433715929354,28.572251533392315,3,68.36124181844805,3,18,0,0,4,11.747283296649286
81.05398159072942,5.627115433422029,9.368087045996008,5.610421585205427,16.63339654784027,5,81.54473476554435,1,21,1,1,4,16.626668806651278
66.40914962437608,0.997309723438824,4.271549883223309,5.494760906819039,16.40367627495999,5,51.72153983960339,4,25,2,1,1,14.936109339465254
47.32229409068673,9.219556301327502,5.210917649186578,11.973055558988406,17.551593241768618,3,77.4180022441398,4,20,2,0,3,22.166799065508965
69.71061460667622,1.4077045777121333,8.512281566835167,6.245062962178922,23.078100770826538,0,54.34329399442102,2,25,0,1,3,32.79387151587505
42.063311266913104,2.2489680573040727,8.256267581859335,12.682518262514026,21.701507267474057,1,51.88804312694474,1,22,2,0,5,17.43293932039596
